,1~30,31~60,61~90,91~120,121~150,151~180,181~210,211~240,241~270,271~300
1,9.4,6.7,6.7,7.5,7.7,6.5,7.1,7.0,8.0,7.4
2,8.9,8.6,7.7,6.3,7.9,6.3,7.5,6.8,8.2,8.0
3,8.7,8.5,7.6,7.6,7.4,6.9,6.9,6.6,6.5,9.1
4,7.4,7.4,6.3,6.1,6.4,5.0,6.7,7.0,6.7,9.6
5,8.5,6.4,6.3,7.3,6.5,5.3,7.0,5.6,6.8,7.9
6,8.4,8.2,7.4,6.6,5.5,6.5,7.8,5.3,7.9,7.2
7,8.2,8.1,7.8,7.0,6.3,5.9,8.0,6.4,7.1,8.1
8,9.5,8.1,6.9,7.1,6.8,6.2,8.0,6.7,7.4,7.7
9,7.5,7.0,7.9,6.4,6.6,7.0,7.2,5.8,6.9,7.4
10,8.0,7.0,7.4,6.4,6.7,5.7,7.5,5.5,6.1,6.6
11,7.9,7.9,8.7,6.9,6.7,7.5,6.8,5.4,6.8,7.4
12,9.0,7.8,8.8,8.2,7.5,7.0,6.7,6.7,7.7,7.4
13,7.6,7.6,6.4,8.6,6.8,6.7,6.2,5.7,6.1,7.2
14,8.8,7.9,7.3,7.3,6.5,6.1,6.6,5.8,6.7,6.9
15,9.2,7.8,5.9,8.1,8.3,5.5,6.1,4.7,7.6,6.3
16,7.9,7.1,5.1,6.7,6.8,5.9,6.8,7.0,7.4,6.4
17,8.2,7.6,5.7,7.4,6.8,5.8,7.4,7.2,6.6,6.0
18,8.4,6.9,4.1,7.3,6.9,6.4,6.3,7.3,6.6,6.3
19,7.5,6.8,8.4,6.5,7.7,5.6,7.8,6.0,6.7,6.1
20,5.4,5.5,6.6,7.7,6.9,7.4,6.0,6.4,6.7,5.7
21,6.7,6.5,6.0,7.6,7.0,6.4,6.0,7.6,7.3,6.6
22,6.4,7.4,7.6,6.4,6.3,6.8,7.4,6.9,6.6,5.6
23,7.2,6.9,6.9,5.8,6.7,7.8,7.6,7.1,8.0,5.8
24,6.2,7.4,7.0,6.5,7.1,8.1,6.6,6.9,8.7,5.0
25,7.3,6.9,7.7,6.4,6.4,8.2,8.1,7.6,8.0,5.6
26,6.2,5.6,7.0,5.7,7.5,6.7,7.4,8.1,8.4,4.6
27,7.5,6.6,6.3,7.0,5.5,8.0,8.6,7.0,8.8,5.8
28,6.6,6.9,7.2,6.1,7.3,6.9,6.7,7.7,9.1,4.7
29,7.7,7.8,8.5,7.2,5.5,7.2,8.5,8.0,8.3,5.2
30,7.6,6.8,7.2,6.3,6.7,9.3,7.7,7.2,9.2,4.8
,,,,,,,,,,
